"Measure","Ethnicity","Ethnicity_type","Time","Geography","Geography_type","Gender","Age Bracket","NS SEC","Physical Activity Level","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically inactive","?","%","?","?","?","?","153"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Fairly active","12.3","%","18026","2220","0.131","0.116","20438"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically active","65.4","%","18026","11788","0.664","0.643","20438"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically inactive","22.3","%","18026","4018","0.232","0.214","20438"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Fairly active","12.7","%","721","92","0.168","0.095","764"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically active","68.1","%","721","491","0.727","0.632","764"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically inactive","19.2","%","721","138","0.232","0.157","764"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Fairly active","?","%","?","?","?","?","80"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically active","67.7","%","103","70","0.811","0.506","80"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","South West","Region","All","16+","All","Physically inactive","?","%","?","?","?","?","80"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Fairly active","12.9","%","20447","2637","0.136","0.122","19341"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically active","58.7","%","20447","11997","0.597","0.576","19341"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically inactive","28.4","%","20447","5812","0.294","0.275","19341"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Fairly active","14.1","%","2022","285","0.173","0.114","1029"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically active","52.7","%","2022","1066","0.571","0.483","1029"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically inactive","33.2","%","2022","671","0.374","0.292","1029"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Fairly active","19.7","%","531","105","0.278","0.135","295"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically active","49.8","%","531","265","0.594","0.402","295"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically inactive","30.5","%","531","162","0.407","0.218","295"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Fairly active","?","%","?","?","?","?","63"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically active","60.4","%","102","62","0.753","0.433","63"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically inactive","?","%","?","?","?","?","63"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Fairly active","?","%","?","?","?","?","162"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically active","70.6","%","276","195","0.791","0.605","162"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically inactive","20.5","%","276","57","0.304","0.133","162"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Fairly active","12.6","%","15980","2015","0.133","0.119","16535"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically active","59.9","%","15980","9568","0.61","0.588","16535"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically inactive","27.5","%","15980","4397","0.285","0.265","16535"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Fairly active","14.5","%","705","102","0.186","0.111","604"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically active","58.6","%","705","414","0.64","0.53","604"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically inactive","26.9","%","705","190","0.323","0.221","604"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Fairly active","?","%","?","?","?","?","103"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically active","65.2","%","188","122","0.768","0.516","103"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","West Midlands","Region","All","16+","All","Physically inactive","?","%","?","?","?","?","103"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","Yorkshire and the Humber","Region","All","16+","All","Fairly active","11.5","%","19322","2226","0.123","0.108","15158"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","Yorkshire and the Humber","Region","All","16+","All","Physically active","60.8","%","19322","11739","0.619","0.596","15158"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","Yorkshire and the Humber","Region","All","16+","All","Physically inactive","27.7","%","19322","5357","0.288","0.266","15158"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","Yorkshire and the Humber","Region","All","16+","All","Fairly active","12.7","%","1153","147","0.174","0.092","449"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","Yorkshire and the Humber","Region","All","16+","All","Physically active","55.7","%","1153","642","0.619","0.494","449"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","Yorkshire and the Humber","Region","All","16+","All","Physically inactive","31.5","%","1153","363","0.374","0.261","449"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","Yorkshire and the Humber","Region","All","16+","All","Fairly active","?","%","?","?","?","?","118"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","Yorkshire and the Humber","Region","All","16+","All","Physically active","44.7","%","215","96","0.571","0.33","118"
